"","X","sale_price","size","Address","Cities","Postal.Code","State","lon","lat","Full.Address","sqft","bath","bed","psf","Predicted.Occupancy.per.yr","ROI"
"11005",11005,349900,"4bd2ba1,700 sqft","814 Greenville Ave","Johnston",2919,"RI",-71.5294829,41.8596935,"814 greenville ave, johnston, ri 02919, usa",1700,2,4,205.82,129.7722096,NA
"11006",11006,425000,"3bd1ba1,152 sqft","55 Warren Ave","Cranston",2920,"RI",-71.482229,41.7447856,"55 warren ave, cranston, ri 02920, usa",1152,1,3,368.92,232.9115657,NA
"11007",11007,395000,"1bd1ba784 sqft","125 Van Zandt Ave","Newport",2840,"RI",-71.310203,41.4997491,"125 van zandt ave, newport, ri 02840, usa",784,1,1,503.83,198.9511433,0.0531448483731904
"11008",11008,450000,"5bd3ba2,300 sqft","140 Cumberland St","Providence",2908,"RI",-71.4367777,41.8496284,"140 cumberland st, providence, ri 02908, usa",2300,3,5,195.65,203.3747877,0.124585888463162
"11009",11009,675000,"3bd3ba2,323 sqft (on 0.48 acres)","51 Rosemont Ave","Johnston",2919,"RI",-71.4810772,41.8338575,"51 rosemont ave, johnston, ri 02919, usa",2323,3,3,290.57,204.5662233,NA
"11010",11010,349900,"8bd2ba2,987 sqft","660 Public St","Providence",2907,"RI",-71.4237906,41.8026797,"660 public st, providence, ri 02907, usa",2987,2,8,117.14,188.608611,0.332692868550846
"11011",11011,524900,"4bd3ba3,396 sqft","346 Branch Ave","Providence",2904,"RI",-71.4170527,41.8488028,"346 branch ave, providence, ri 02904, usa",3396,3,4,154.56,182.5212554,0.0383077887181654
"11012",11012,349900,"3bd1ba1,548 sqft","23 N Howard Ave","North providence",2911,"RI",-71.4734175,41.8603145,"23 n howard ave, north providence, ri 02911, usa",1548,1,3,226.03,160.197909,0.10301380256943
"11013",11013,475000,"3bd3ba1,532 sqft (on 0.34 acres)","5 Prenda Ln","Bristol",2809,"RI",-71.2531989,41.6813466,"5 prenda ln, bristol, ri 02809, usa",1532,3,3,310.05,242.6669799,0.0929031374742377
"11014",11014,359900,"3bd2ba1,332 sqft (on 0.47 acres)","70 Colvintown Rd","Coventry",2816,"RI",-71.5743194,41.709998,"70 colvintown rd, coventry, ri 02816, usa",1332,2,3,270.2,203.0479697,NA
"11015",11015,650000,"12bd7ba6,000 sqft","297 Pocasset Ave","Providence",2909,"RI",-71.4568837,41.807168,"297 pocasset ave, providence, ri 02909, usa",6000,7,12,108.33,245.5163074,0.155950069895911
